hhsize97,yycali,pobre,mpcalif,numunder15,fatherathome,motherathome,fatherlit,motherlit,fatherschool,motherschool,fatherminprim,motherminprim,fatherminsec,motherminsec,verypoor,poor,notrich,goodatschool,cansec,canfurther,canhigh,canuni,desgirlsec,desgirlfurther,desgirlhigh,desgirluni,desboysec,desboyfurther,desboyhigh,desboyuni,breakfast,whynobreakfast,talkwithteacher,whytalkwithteacher,guardian,schoolwork,problemdiscipline,problemteachers,problemcommunication,problemteachattendance,teacherprepared,teacherfulfilled,teacherpunctual,teacherpatient,helpsibgirl,helpsibboy,helpworkgirl,helpworkboy,earnmongirl,earnmonboy,weekexp1,weekexp2,weekexp3,weekexp4,weekexp5,monthexp1,monthexp2,monthexp3,sixmonthexp1,sixmonthexp2,sixmonthexp3,sixmonthexp4,sixmonthexp5,sixmonthexp6,sixmonthexp7,sixmonthexp8,sixmonthexp9,sixmonthexp10,sixmonthexp11,sixmonthexp12,spendmoreon1,spendmoreon2,spendmoreon3,spendmoreon4,spendmoreon5,spendmoreon6,spendmoreon7,spendmoreon11,spendmoreon12,spendmoreon14,delegate,subdelegate,commissioner,commissary,devcommittee,healthcommittee,educommittee,agricommittee,DICONSA,prodcoop,church,politorga,parentassoc,commassembly,NGO,commwork,watersource,trash,allelectric,partselectric,partsewers,phone,numberpreschools,numberprimschools,numbertelesecondaria,primeactivity,secondactivity,thirdactivity,childlabor,avchildwage,ttprivsec,ttpubsec,tttelesec,ttclosestsec,ttCONALEP,ttCETA,ttCETIS,ttCEBTA,ttCEBTIS,ttprivhigh,ttpubhigh,ttclosesthigh,indloc,indice,grado,female,age97,attend97,attend98,treatment,middleschool00,somemiddleschool00,missingmiddle00,highschool,highschool03,highschool03fin,missing00,missing03
6,667,Pobre,2.1,2,1,1,1,1,1,1,0,0,0,0,0,1,1,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,10,12,12,17,17,0,14,0,0,25,90,800,100,100,0,300,200,150,200,200,190,150,200,0,0,1,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,3,1,0,0,0,1,1,1,0,1,99,99,0,0,,.5,.5,.5,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,0,.34754,5,0,12,0,0,0,0,0,0,0,,,0,1
10,604,Pobre,1.32,2,1,1,1,0,0,0,0,0,0,0,1,1,1,,0,0,0,0,1,1,0,0,1,1,0,0,1,,1,2,2,1,2,2,2,2,1,1,1,1,6,6,6,6,15,15,0,16,0,0,5,150,200,800,2000,0,500,1500,2000,2000,1000,1000,500,500,800,800,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,3,1,0,0,0,1,1,1,0,1,99,99,0,0,,.5,.5,.5,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,.83333331,0,.34754,5,0,11,0,0,0,,,1,,,,1,1
6,632,Pobre,1.76,1,0,1,,1,,1,,0,,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,,1,2,2,1,2,2,2,2,1,1,1,1,6,6,6,6,15,15,0,8,0,0,20,60,0,0,100,60,0,66,200,90,0,100,150,90,30,30,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0,1,0,9,99,99,0,0,,,,,,,,,,,,,0,.2885,5,1,12,1,1,1,0,1,0,0,0,0,0,0
8,721,No Pobre,2.05,4,1,1,1,1,1,1,0,0,0,0,0,0,1,,0,0,0,0,1,1,0,0,1,1,0,0,1,,1,2,2,1,2,2,2,2,1,1,1,1,6,6,6,6,6,6,0,8,60,0,30,100,0,0,100,50,150,150,90,90,150,100,150,150,20,20,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0,1,0,9,99,99,0,0,,,,,,,,,,,,,0,.2885,5,1,13,1,0,1,0,0,0,0,,,0,1
9,628.5,Pobre,4.63,6,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,,1,2,1,1,2,2,2,2,1,1,1,1,11,11,8,8,18,18,0,0,0,0,0,400,0,0,150,0,100,50,60,0,100,60,40,60,0,10,1,0,2,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,2,1,1,1,0,1,1,3,0,1,99,99,1,,,,,,,,,,,,,,0,.83362,5,1,14,0,1,0,,,1,,,,1,1
9,628.5,Pobre,4.63,6,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,,1,2,1,1,2,2,2,2,1,1,1,1,11,11,8,8,18,18,0,0,0,0,0,400,0,0,150,0,100,50,60,0,100,60,40,60,0,10,1,0,2,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,2,1,1,1,0,1,1,3,0,1,99,99,1,,,,,,,,,,,,,,0,.83362,5,1,12,1,1,0,0,1,0,0,0,0,0,0
5,730.67,Pobre,2.54,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,,0,,2,1,1,2,2,2,1,1,1,1,10,10,10,12,15,15,0,0,0,0,0,64,0,0,17,0,30,0,150,0,24,0,21,60,12,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,2,1,1,1,0,1,1,3,0,1,99,99,1,,,,,,,,,,,,,,0,.83362,5,1,12,0,1,0,0,0,0,,,,1,1
4,816,No Pobre,2.6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,,1,2,2,1,2,2,2,2,1,1,1,1,11,11,12,12,17,17,0,0,0,0,0,30,0,0,15,0,0,0,0,0,0,0,0,0,0,20,1,0,2,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,2,1,1,1,0,1,1,3,0,1,99,99,1,,,,,,,,,,,,,,0,.83362,5,0,13,0,1,0,0,0,0,0,,,0,1
5,825.5,No Pobre,2.19,1,0,1,,0,,0,,0,,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,5,2,0,1,0,1,1,1,1,1,2,4,1,7.5,2.5,2.5,,2.5,,,,1,,2.5,.33333299,.33333299,1,-.06862,4,0,12,1,,1,,,1,,,,1,1
7,587,Pobre,4.46,5,1,1,1,1,1,1,0,1,0,0,1,1,1,,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,2,1,1,2,2,2,2,1,1,1,1,9,9,13,13,15,15,0,0,0,0,0,84,0,0,0,0,0,0,0,0,38,62,38,0,0,20,1,3,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,1,1,0,1,99,99,0,0,.33333299,2,,.33333299,,,,2,,,,,,1.81359,5,1,13,1,,0,0,0,0,0,,,0,1
