hhsize97,yycali,pobre,mpcalif,vilcount,vilcountpoor,numunder15,rightagetotal,rightageshare,rightagepoortotal,rightagepoorshare,rightageattend97total,rightageattend97share,rightageattend97poortotal,rightageattend97poorshare,fatherathome,motherathome,fatherlit,motherlit,fatherschool,motherschool,minprimtotal,minprimtotal15to20,minprimtotal21to30,minprimshare,minprimshare15to20,minprimshare21to30,minprimtotalpoor,minprimtotal15to20poor,minprimtotal21to30poor,minprimsharepoor,minprimshare15to20poor,minprimshare21to30poor,fatherminprim,motherminprim,minsectotal,minsectotal15to20,minsectotal21to30,minsecshare,minsecshare15to20,minsecshare21to30,minsectotalpoor,minsectotal15to20poor,minsectotal21to30poor,minsecsharepoor,minsecshare15to20poor,minsecshare21to30poor,fatherminsec,motherminsec,minhightotal,minhightotal15to20,minhightotal21to30,minhighshare,minhighshare15to20,minhighshare21to30,minhightotalpoor,minhightotal15to20poor,minhightotal21to30poor,minhighsharepoor,minhighshare15to20poor,minhighshare21to30poor,verypoor,poor,notrich,goodatschool,cansec,canfurther,canhigh,canuni,desgirlsec,desgirlfurther,desgirlhigh,desgirluni,desboysec,desboyfurther,desboyhigh,desboyuni,breakfast,whynobreakfast,talkwithteacher,whytalkwithteacher,guardian,schoolwork,problemdiscipline,problemteachers,problemcommunication,problemteachattendance,teacherprepared,teacherfulfilled,teacherpunctual,teacherpatient,helpsibgirl,helpsibboy,helpworkgirl,helpworkboy,earnmongirl,earnmonboy,weekexp1,weekexp2,weekexp3,weekexp4,weekexp5,monthexp1,monthexp2,monthexp3,sixmonthexp1,sixmonthexp2,sixmonthexp3,sixmonthexp4,sixmonthexp5,sixmonthexp6,sixmonthexp7,sixmonthexp8,sixmonthexp9,sixmonthexp10,sixmonthexp11,sixmonthexp12,spendmoreon1,spendmoreon2,spendmoreon3,spendmoreon4,spendmoreon5,spendmoreon6,spendmoreon7,spendmoreon11,spendmoreon12,spendmoreon14,pcexp,lnpcexp,delegate,subdelegate,commissioner,commissary,devcommittee,healthcommittee,educommittee,agricommittee,DICONSA,prodcoop,church,politorga,parentassoc,commassembly,NGO,commwork,watersource,trash,allelectric,partselectric,partsewers,phone,numberpreschools,numberprimschools,numbertelesecondaria,primeactivity,secondactivity,thirdactivity,childlabor,avchildwage,ttprivsec,ttpubsec,tttelesec,ttclosestsec,ttCONALEP,ttCETA,ttCETIS,ttCEBTA,ttCEBTIS,ttprivhigh,ttpubhigh,ttclosesthigh,indloc,indice,grado,female,age97,attend97,attend98,treatment,highschool,highschool03,highschool03fin,moneyreason,otherreason,missing03
8,571,Pobre,3.93,589,441,5,21,.035653651,14,.031746034,8,.013582343,5,.011337869,1,1,1,1,1,1,70,70,70,.1188455,.85365856,.8974359,44,44,44,.099773243,.89795917,.72131145,0,0,11,11,11,.018675722,.13414635,.14102565,10,10,10,.022675738,.20408164,.16393442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,,0,,2,1,2,2,2,2,1,1,1,1,8,10,10,10,15,17,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,35.238098,3.5621278,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,2,2,0,1,0,1,1,1,0,9,1,2,1,15,,,1.0833334,1.0833334,,,,,,,1.0833334,1.0833334,1,1.00668,5,0,13,1,1,0,0,1,1,0,1,0
9,676,Pobre,4.71,222,105,5,7,.031531531,5,.047619049,4,.018018018,4,.03809524,1,1,1,1,1,1,51,51,51,.22972973,1.59375,1.3783784,23,23,23,.21904762,1.5333333,1.5333333,0,0,7,7,7,.031531531,.21875,.1891892,5,5,5,.047619049,.33333334,.33333334,0,0,1,1,1,.0045045046,.03125,.027027028,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,0,,2,1,2,2,2,2,1,1,1,1,10,9,12,10,14,15,0,0,0,0,0,80,0,0,0,0,200,150,100,150,200,200,80,100,150,150,0,0,1,0,0,0,0,3,0,2,139.85039,4.9405732,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,2,2,0,1,0,0,1,2,0,1,99,99,0,0,,,.5,.5,,,,,,,.75,.75,0,.21974,5,0,12,1,1,1,0,1,1,1,0,0
6,692,Pobre,1.87,222,105,2,7,.031531531,5,.047619049,4,.018018018,4,.03809524,0,1,,1,,1,51,51,51,.22972973,1.59375,1.3783784,23,23,23,.21904762,1.5333333,1.5333333,,0,7,7,7,.031531531,.21875,.1891892,5,5,5,.047619049,.33333334,.33333334,,0,1,1,1,.0045045046,.03125,.027027028,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,,1,1,8,2,2,1,1,2,2,2,,,10,10,15,15,0,0,0,15,12,40,300,140,0,0,0,0,0,0,0,0,0,0,27,20,0,1,0,2,3,0,0,0,0,0,248.32224,5.5147271,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,2,2,0,1,0,0,1,2,0,1,99,99,0,0,,,.5,.5,,,,,,,.75,.75,0,.21974,5,1,13,1,1,1,1,0,0,0,0,0
8,596,Pobre,3.19,242,148,6,10,.041322313,5,.033783782,4,.016528925,1,.0067567569,1,1,1,1,1,1,70,70,70,.28925619,1.9444444,2,29,29,29,.19594595,1.5263158,1.9333333,1,1,12,12,12,.049586777,.33333334,.34285715,8,8,8,.054054055,.42105263,.53333336,1,0,1,1,1,.0041322312,.027777778,.028571429,1,1,1,.0067567569,.052631579,.06666667,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,,1,1,2,1,2,2,2,2,1,1,1,1,7,7,5,5,10,10,0,0,0,0,0,60,30,0,0,0,0,280,0,0,70,0,0,0,35,0,2,0,3,0,0,0,0,0,0,1,124.41453,4.8236189,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,2,2,0,0,0,0,0,1,0,1,99,99,1,25,,2,1,1,,,,,,,1.5,1.5,,1.006,5,0,12,1,1,1,0,1,1,1,0,0
10,772.5,No Pobre,2.37,242,148,4,10,.041322313,5,.033783782,4,.016528925,1,.0067567569,0,1,,1,,1,70,70,70,.28925619,1.9444444,2,29,29,29,.19594595,1.5263158,1.9333333,,0,12,12,12,.049586777,.33333334,.34285715,8,8,8,.054054055,.42105263,.53333336,,0,1,1,1,.0041322312,.027777778,.028571429,1,1,1,.0067567569,.052631579,.06666667,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,,1,2,2,1,2,2,2,2,1,1,1,1,12,12,12,12,17,17,0,0,0,0,0,35,500,0,0,0,100,90,0,0,70,0,30,0,60,50,1,3,2,0,0,0,0,0,0,0,124.15356,4.8215194,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,2,2,0,0,0,0,0,1,0,1,99,99,1,25,,2,1,1,,,,,,,1.5,1.5,,1.006,5,0,12,1,1,1,0,0,0,0,1,0
5,760.5,No Pobre,3.63,162,91,2,6,.037037037,4,.043956045,2,.012345679,0,0,0,1,,0,,0,26,26,26,.16049382,1.1818181,1.4444444,11,11,11,.12087912,.84615386,1.8333334,,0,1,1,1,.0061728396,.045454547,.055555556,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,,2,1,1,2,2,2,1,1,1,1,10,10,10,10,19,19,0,0,0,0,0,20,0,0,6,6,66,0,0,0,0,0,0,0,60,200,1,0,2,0,0,0,0,0,3,0,157.83664,5.0615606,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,4,1,0,1,0,0,0,1,0,1,99,99,0,0,,,,,,,,,,,,,,.28592,5,0,13,0,1,1,0,0,0,1,0,0
7,781,No Pobre,2.35,115,55,2,4,.034782607,3,.054545455,1,.0086956518,0,0,0,0,,,,,39,39,39,.33913043,2.0526316,2.5999999,9,9,9,.16363636,2.25,1.5,,,6,6,6,.052173913,.31578946,.40000001,0,0,0,0,0,0,,,1,1,1,.0086956518,.052631579,.06666667,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,,1,1,2,1,2,2,2,2,1,1,1,1,9,11,9,12,18,16,0,20,0,0,8,100,0,0,50,0,140,150,15,0,120,200,30,0,120,150,1,0,2,0,0,0,0,0,3,0,102.61224,4.6309571,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,5,0,1,0,0,1,1,0,1,2,99,1,30,,,.75,.75,,,,,,,.75,.75,,.37588,5,0,11,1,1,1,0,0,0,1,0,0
7,743.33,Pobre,2.31,488,264,4,11,.022540983,4,.015151516,6,.012295082,1,.0037878789,1,1,1,1,1,1,154,154,154,.31557378,2.231884,2.6551723,66,66,66,.25,1.7837838,3.1428571,1,1,66,66,66,.1352459,.95652175,1.137931,26,26,26,.098484851,.7027027,1.2380953,0,0,5,5,5,.010245902,.072463766,.086206898,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,2,2,2,1,1,1,1,7,7,10,10,17,17,0,0,0,0,0,40,0,0,50,50,100,0,0,0,200,100,50,0,300,200,1,0,2,0,0,0,0,0,3,0,200.30437,5.2998381,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,2,2,1,1,0,0,1,1,0,1,99,99,0,0,.16666667,.16666667,.16666667,.16666667,,,,,,4.1666665,4.1666665,4.1666665,0,.15558,5,1,11,1,1,0,0,0,0,0,1,0
11,712.68,No Pobre,2.58,488,264,6,11,.022540983,4,.015151516,6,.012295082,1,.0037878789,1,1,1,1,1,1,154,154,154,.31557378,2.231884,2.6551723,66,66,66,.25,1.7837838,3.1428571,1,1,66,66,66,.1352459,.95652175,1.137931,26,26,26,.098484851,.7027027,1.2380953,0,0,5,5,5,.010245902,.072463766,.086206898,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,1,3,2,2,2,2,1,1,1,1,8,8,12,12,18,18,0,0,0,0,30,70,0,0,300,350,200,400,200,250,300,250,120,100,500,0,1,3,2,0,0,0,0,0,0,0,55.238094,4.0116529,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,2,2,1,1,0,0,1,1,0,1,99,99,0,0,.16666667,.16666667,.16666667,.16666667,,,,,,4.1666665,4.1666665,4.1666665,0,.15558,5,1,11,1,1,0,0,1,0,0,1,0
11,512,Pobre,1.82,488,264,3,11,.022540983,4,.015151516,6,.012295082,1,.0037878789,1,1,1,0,1,1,154,154,154,.31557378,2.231884,2.6551723,66,66,66,.25,1.7837838,3.1428571,1,0,66,66,66,.1352459,.95652175,1.137931,26,26,26,.098484851,.7027027,1.2380953,0,0,5,5,5,.010245902,.072463766,.086206898,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,,1,2,1,1,2,2,2,2,1,1,1,1,8,8,7,7,18,15,0,0,0,0,0,80,0,0,400,0,300,200,400,300,350,180,250,200,400,170,1,2,0,0,0,0,0,0,3,0,103.03571,4.6350756,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,2,2,1,1,0,0,1,1,0,1,99,99,0,0,.16666667,.16666667,.16666667,.16666667,,,,,,4.1666665,4.1666665,4.1666665,0,.15558,5,1,12,1,1,0,0,0,0,0,1,0
