hhsize97,yycali,pobre,mpcalif,vilcount,vilcountpoor,numunder15,rightagetotal,rightageshare,rightagepoortotal,rightagepoorshare,rightageattend97total,rightageattend97share,rightageattend97poortotal,rightageattend97poorshare,fatherathome,motherathome,fatherlit,motherlit,fatherschool,motherschool,minprimtotal,minprimtotal15to20,minprimtotal21to30,minprimshare,minprimshare15to20,minprimshare21to30,minprimtotalpoor,minprimtotal15to20poor,minprimtotal21to30poor,minprimsharepoor,minprimshare15to20poor,minprimshare21to30poor,fatherminprim,motherminprim,minsectotal,minsectotal15to20,minsectotal21to30,minsecshare,minsecshare15to20,minsecshare21to30,minsectotalpoor,minsectotal15to20poor,minsectotal21to30poor,minsecsharepoor,minsecshare15to20poor,minsecshare21to30poor,fatherminsec,motherminsec,minhightotal,minhightotal15to20,minhightotal21to30,minhighshare,minhighshare15to20,minhighshare21to30,minhightotalpoor,minhightotal15to20poor,minhightotal21to30poor,minhighsharepoor,minhighshare15to20poor,minhighshare21to30poor,verypoor,poor,notrich,goodatschool,cansec,canfurther,canhigh,canuni,desgirlsec,desgirlfurther,desgirlhigh,desgirluni,desboysec,desboyfurther,desboyhigh,desboyuni,breakfast,whynobreakfast,talkwithteacher,whytalkwithteacher,guardian,schoolwork,problemdiscipline,problemteachers,problemcommunication,problemteachattendance,teacherprepared,teacherfulfilled,teacherpunctual,teacherpatient,helpsibgirl,helpsibboy,helpworkgirl,helpworkboy,earnmongirl,earnmonboy,weekexp1,weekexp2,weekexp3,weekexp4,weekexp5,monthexp1,monthexp2,monthexp3,sixmonthexp1,sixmonthexp2,sixmonthexp3,sixmonthexp4,sixmonthexp5,sixmonthexp6,sixmonthexp7,sixmonthexp8,sixmonthexp9,sixmonthexp10,sixmonthexp11,sixmonthexp12,spendmoreon1,spendmoreon2,spendmoreon3,spendmoreon4,spendmoreon5,spendmoreon6,spendmoreon7,spendmoreon11,spendmoreon12,spendmoreon14,pcexp,lnpcexp,delegate,subdelegate,commissioner,commissary,devcommittee,healthcommittee,educommittee,agricommittee,DICONSA,prodcoop,church,politorga,parentassoc,commassembly,NGO,commwork,watersource,trash,allelectric,partselectric,partsewers,phone,numberpreschools,numberprimschools,numbertelesecondaria,primeactivity,secondactivity,thirdactivity,childlabor,avchildwage,ttprivsec,ttpubsec,tttelesec,ttclosestsec,ttCONALEP,ttCETA,ttCETIS,ttCEBTA,ttCEBTIS,ttprivhigh,ttpubhigh,ttclosesthigh,indloc,indice,grado,female,age97,attend97,attend98,treatment,highschool,highschool03,highschool03fin,moneyreason,otherreason,missing03
12,668.6900000000001,Pobre,1.29,428,355,6,11,.025700934,10,.028169014,8,.018691588,8,.02253521,1,1,1,0,1,0,100,100,100,.23364486,1.2658228,1.7543859,72,72,72,.2028169,1.1803279,1.5652174,1,0,26,26,26,.060747664,.32911393,.45614034,19,19,19,.053521127,.3114754,.41304347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,10,10,12,12,16,16,0,120,0,0,0,50,0,0,0,0,0,0,0,0,20,48,20,50,80,0,1,2,0,0,0,0,0,0,0,3,171.16776,5.1426439,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,3,1,1,0,1,1,1,1,1,99,99,1,15,,,.33333299,.33333299,1,1,1,1,1,,1,1,1,1.36486,5,1,12,1,1,1,0,0,0,1,0,0
9,714,Pobre,3.93,428,355,3,11,.025700934,10,.028169014,8,.018691588,8,.02253521,1,1,1,0,1,0,100,100,100,.23364486,1.2658228,1.7543859,72,72,72,.2028169,1.1803279,1.5652174,0,0,26,26,26,.060747664,.32911393,.45614034,19,19,19,.053521127,.3114754,.41304347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,,1,2,2,1,2,2,2,2,1,1,1,1,10,10,12,10,16,14,0,0,0,0,0,100,80,0,0,0,0,0,0,0,28,0,40,0,50,0,0,0,0,1,0,0,0,0,3,0,163.8829,5.0991521,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,3,1,1,0,1,1,1,1,1,99,99,1,15,,,.33333299,.33333299,1,1,1,1,1,,1,1,1,1.36486,5,1,12,1,1,1,0,0,0,1,0,0
14,604,Pobre,4.16,428,355,8,11,.025700934,10,.028169014,8,.018691588,8,.02253521,1,1,1,0,1,1,100,100,100,.23364486,1.2658228,1.7543859,72,72,72,.2028169,1.1803279,1.5652174,1,0,26,26,26,.060747664,.32911393,.45614034,19,19,19,.053521127,.3114754,.41304347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,,1,1,2,1,2,2,2,2,1,1,1,1,12,12,14,12,18,14,0,60,0,0,20,120,200,150,60,0,500,100,250,250,150,150,100,0,180,50,0,0,2,1,0,0,0,0,0,0,179.95604,5.1927128,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,3,1,1,0,1,1,1,1,1,99,99,1,15,,,.33333299,.33333299,1,1,1,1,1,,1,1,1,1.36486,5,0,12,1,1,1,0,,,1,0,1
5,757,Pobre,2.57,428,355,4,11,.025700934,10,.028169014,8,.018691588,8,.02253521,0,1,,1,,1,100,100,100,.23364486,1.2658228,1.7543859,72,72,72,.2028169,1.1803279,1.5652174,,0,26,26,26,.060747664,.32911393,.45614034,19,19,19,.053521127,.3114754,.41304347,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,,,,,1,,1,1,2,1,2,2,2,2,1,1,1,1,13,,13,,18,,0,0,0,0,20,60,0,0,0,20,300,0,0,200,0,200,0,60,80,50,3,0,2,0,0,0,0,0,1,0,213.104,5.3617802,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,3,1,1,0,1,1,1,1,1,99,99,1,15,,,.33333299,.33333299,1,1,1,1,1,,1,1,1,1.36486,5,1,12,1,1,1,0,0,0,0,1,0
4,751,Pobre,3.02,428,355,1,11,.025700934,10,.028169014,8,.018691588,8,.02253521,1,1,1,0,1,1,100,100,100,.23364486,1.2658228,1.7543859,72,72,72,.2028169,1.1803279,1.5652174,0,0,26,26,26,.060747664,.32911393,.45614034,19,19,19,.053521127,.3114754,.41304347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,,1,2,1,1,2,2,2,2,1,1,1,1,8,8,10,10,17,17,0,0,0,0,0,60,0,0,40,0,50,70,45,90,17,33,28,60,30,20,1,0,0,0,0,0,0,2,3,0,94.142853,4.5448132,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,3,1,1,0,1,1,1,1,1,99,99,1,15,,,.33333299,.33333299,1,1,1,1,1,,1,1,1,1.36486,5,1,11,1,1,1,0,,,1,0,1
9,705.4,Pobre,4.26,428,355,5,11,.025700934,10,.028169014,8,.018691588,8,.02253521,1,1,0,1,1,1,100,100,100,.23364486,1.2658228,1.7543859,72,72,72,.2028169,1.1803279,1.5652174,0,0,26,26,26,.060747664,.32911393,.45614034,19,19,19,.053521127,.3114754,.41304347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,1,0,0,0,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,8,10,10,5,18,20,0,100,12,0,20,50,100,50,500,0,350,200,110,150,70,50,40,30,0,10,0,2,0,0,0,0,3,0,1,0,91.832932,4.5199709,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,3,1,1,0,1,1,1,1,1,99,99,1,15,,,.33333299,.33333299,1,1,1,1,1,,1,1,1,1.36486,5,0,13,1,,1,0,0,0,1,0,0
9,889,No Pobre,2.94,192,81,4,10,.052083332,6,.074074075,3,.015625,1,.012345679,1,1,1,0,1,0,54,54,54,.28125,1.7419355,2.1600001,17,17,17,.20987654,1.7,2.8333333,0,0,2,2,2,.010416667,.064516127,.079999998,0,0,0,0,0,0,0,0,1,1,1,.0052083335,.032258064,.039999999,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,1,0,0,0,1,,1,2,1,1,2,2,2,2,1,1,1,1,10,10,10,10,14,14,0,999,0,0,0,80,70,0,9999,0,0,9999,200,200,150,200,150,200,300,80,1,0,0,0,2,3,0,0,0,0,127.28337,4.846416,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,1,1,0,0,1,1,0,1,99,99,1,12,,,,,,,,,,,.33333299,.33333299,0,.13749,5,0,13,1,1,1,0,0,0,1,0,0
10,782,No Pobre,4.13,192,81,3,10,.052083332,6,.074074075,3,.015625,1,.012345679,1,1,1,1,1,1,54,54,54,.28125,1.7419355,2.1600001,17,17,17,.20987654,1.7,2.8333333,0,0,2,2,2,.010416667,.064516127,.079999998,0,0,0,0,0,0,0,0,1,1,1,.0052083335,.032258064,.039999999,0,0,0,0,0,0,0,0,1,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.43911,4.2547488,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,1,1,0,0,1,1,0,1,99,99,1,12,,,,,,,,,,,.33333299,.33333299,0,.13749,5,0,12,1,,1,1,1,1,0,0,0
6,1028,No Pobre,.02,206,48,2,2,.009708738,0,0,2,.009708738,0,0,1,1,1,1,1,1,66,66,66,.32038835,1.7837838,2.1290324,10,10,10,.20833333,1.25,1.6666666,0,0,30,30,30,.14563107,.8108108,.96774191,4,4,4,.083333336,.5,.66666669,0,0,2,2,2,.009708738,.054054055,.064516127,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,,1,1,1,2,2,2,2,2,1,1,1,1,10,10,12,12,18,18,0,0,0,0,40,60,0,0,600,0,0,0,0,200,300,150,0,0,250,470,2,3,0,1,0,0,0,0,0,0,275.10144,5.6171398,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,5,1,0,0,0,1,1,1,1,3,1,99,0,0,,,.33333299,.33333299,.66666669,,,.66666669,.66666669,.66666669,.66666669,.66666669,,-.59058,4,1,12,1,1,0,0,0,0,1,0,0
2,750,Pobre,2.18,171,106,1,6,.03508772,5,.047169812,5,.029239766,4,.03773585,0,1,,1,,1,51,51,51,.29824561,2.2173913,1.9615384,23,23,23,.21698113,2.090909,1.6428572,,0,18,18,18,.10526316,.78260869,.69230771,6,6,6,.056603774,.54545456,.42857143,,0,1,1,1,.0058479533,.043478262,.03846154,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,2,1,2,2,2,2,1,1,1,1,11,11,13,13,15,15,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,300,40,0,120,0,1,0,2,0,0,0,0,3,0,0,241.33333,5.4861789,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,1,0,0,1,99,99,0,0,,.25,.16666667,.16666667,,2.5,2.5,,2.5,2.5,2.5,2.5,0,.19152,5,0,11,1,1,1,0,,,1,0,1
8,765,No Pobre,2.44,735,534,3,16,.021768708,13,.024344569,10,.013605442,8,.014981274,1,1,1,0,1,0,109,109,109,.14829932,1.2528735,1.172043,70,70,70,.13108614,1.1864407,.95890409,0,0,15,15,15,.020408163,.1724138,.16129032,8,8,8,.014981274,.13559322,.10958904,0,0,2,2,2,.0027210885,.022988506,.021505376,1,1,1,.0018726592,.016949153,.01369863,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,1,1,2,2,2,1,2,1,1,1,12,12,13,13,15,15,0,40,0,0,20,40,0,0,80,90,80,90,120,160,0,60,20,180,100,0,1,0,2,0,0,0,3,0,0,0,68.419205,4.2256536,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,2,1,0,1,0,1,1,1,1,1,99,99,1,15,,,,,,,,,,,,,1,.70795,5,0,12,1,1,1,1,0,0,0,0,0
9,646,Pobre,3.14,318,131,5,16,.050314464,8,.061068702,8,.025157232,2,.015267176,1,1,1,0,1,0,73,73,73,.22955975,1.972973,1.2166667,22,22,22,.16793893,1.375,1.4666667,0,0,20,20,20,.062893085,.54054052,.33333334,3,3,3,.022900764,.1875,.2,0,0,2,2,2,.006289308,.054054055,.033333335,1,1,1,.0076335878,.0625,.06666667,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,,0,,1,1,2,2,2,2,1,1,1,1,10,10,10,10,18,18,0,46,0,0,25,40,0,0,0,0,0,0,45,80,0,100,45,0,120,150,1,3,2,0,0,0,0,0,0,0,188.17036,5.2373476,1,0,1,,,,,,,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,99,99,1,30,,,.5,.5,1,.66666669,1,1,,.5,,.5,0,.81846,5,0,12,1,1,0,0,0,0,0,1,0
7,823,No Pobre,2.3,127,30,4,6,.047244094,0,0,4,.031496063,0,0,1,1,1,1,1,1,39,39,39,.30708662,2.0526316,1.5599999,8,8,8,.26666668,2,.8888889,1,0,4,4,4,.031496063,.21052632,.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,,1,2,1,1,1,2,1,2,1,1,1,1,10,10,7,7,16,16,35,0,0,0,10,30,56,11,0,0,200,0,150,100,300,200,120,200,800,100,2,0,1,0,0,0,0,0,0,3,364.91019,5.8996511,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,2,3,0,1,0,0,0,1,0,1,99,99,1,15,,.33333299,,.33333299,,,,,,.5,,.5,0,.06721,5,1,12,1,1,0,0,0,0,0,1,0
6,722,Pobre,3.24,231,140,3,5,.021645023,3,.021428572,4,.017316017,2,.014285714,1,1,1,1,1,1,77,77,77,.33333334,3.8499999,2.5666666,42,42,42,.30000001,4.6666665,2.4705882,1,1,22,22,22,.095238097,1.1,.73333335,8,8,8,.057142857,.8888889,.47058824,0,0,1,1,1,.0043290043,.050000001,.033333335,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,,1,1,1,1,2,2,2,2,1,1,1,1,11,13,13,14,14,18,47,250,0,0,30,40,0,0,0,30,25,0,0,0,0,0,0,0,30,5,1,2,3,0,0,0,0,0,0,0,182.01071,5.2040653,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,2,3,0,1,0,1,1,1,1,1,99,99,0,0,,,,,,,,,,,,,0,.16233,5,1,12,1,1,1,0,0,0,0,1,0
8,574,Pobre,3.65,735,534,6,16,.021768708,13,.024344569,10,.013605442,8,.014981274,1,1,1,0,1,0,109,109,109,.14829932,1.2528735,1.172043,70,70,70,.13108614,1.1864407,.95890409,0,0,15,15,15,.020408163,.1724138,.16129032,8,8,8,.014981274,.13559322,.10958904,0,0,2,2,2,.0027210885,.022988506,.021505376,1,1,1,.0018726592,.016949153,.01369863,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,,1,1,1,1,2,2,2,2,1,1,1,1,12,13,13,15,16,17,0,0,0,0,16,35,880,200,20,0,0,0,100,0,400,160,20,160,100,100,0,0,0,0,1,0,2,0,0,0,107.1731,4.6744452,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,2,1,0,1,0,1,1,1,1,1,99,99,1,15,,,,,,,,,,,,,1,.70795,5,1,13,1,1,1,1,1,1,0,0,0
6,604,Pobre,3.98,735,534,4,16,.021768708,13,.024344569,10,.013605442,8,.014981274,1,1,1,1,1,1,109,109,109,.14829932,1.2528735,1.172043,70,70,70,.13108614,1.1864407,.95890409,0,1,15,15,15,.020408163,.1724138,.16129032,8,8,8,.014981274,.13559322,.10958904,0,0,2,2,2,.0027210885,.022988506,.021505376,1,1,1,.0018726592,.016949153,.01369863,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,2,1,2,2,2,2,1,1,1,1,6,6,15,15,18,18,0,0,0,0,0,35,0,0,0,0,0,0,20,0,0,500,0,0,120,20,1,0,0,0,0,0,2,0,0,3,52.204079,3.9551606,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,2,1,0,1,0,1,1,1,1,1,99,99,1,15,,,,,,,,,,,,,1,.70795,5,1,12,1,1,1,0,0,0,1,0,0
4,725,Pobre,2.52,259,126,3,7,.027027028,4,.031746034,6,.023166023,3,.023809524,0,1,,1,,1,97,97,97,.37451738,2.5526316,2.2558138,36,36,36,.2857143,3,1.7142857,,0,39,39,39,.15057915,1.0263158,.90697676,15,15,15,.11904762,1.25,.71428573,,0,3,3,3,.011583012,.078947365,.069767445,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,2,2,2,1,1,1,1,10,7,8,8,12,16,0,0,0,0,0,150,300,22,0,0,200,400,0,0,80,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,172.5513,5.1506944,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,3,1,1,1,0,1,1,0,1,3,9,1,20,,,.5,.5,,,,,1,,,,1,.03487,4,1,12,1,1,1,1,0,0,0,0,0
10,775,No Pobre,2.27,226,48,5,8,.03539823,1,.020833334,4,.017699115,0,0,1,1,0,1,0,1,68,68,68,.30088496,2.2666667,3.090909,9,9,9,.1875,2.25,1.5,0,0,19,19,19,.084070794,.63333333,.86363637,4,4,4,.083333336,1,.66666669,0,0,2,2,2,.0088495575,.06666667,.090909094,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,,1,1,1,1,2,2,2,2,1,1,2,1,10,10,10,8,15,12,0,50,0,0,28,60,10,0,120,0,110,57,0,0,400,108,78,38,260,70,1,3,2,0,0,0,0,0,0,0,318.21115,5.7627153,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,3,99,0,0,,,.33333299,.33333299,,,,1.5,,,.5,.5,0,.06904,5,1,13,1,1,1,0,0,0,1,0,0
6,931,No Pobre,3.46,226,48,4,8,.03539823,1,.020833334,4,.017699115,0,0,1,1,1,1,1,1,68,68,68,.30088496,2.2666667,3.090909,9,9,9,.1875,2.25,1.5,0,1,19,19,19,.084070794,.63333333,.86363637,4,4,4,.083333336,1,.66666669,0,0,2,2,2,.0088495575,.06666667,.090909094,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,1,0,0,1,,1,2,2,1,2,2,2,2,1,1,1,1,12,10,10,10,15,15,0,0,0,0,25,55,0,0,100,0,300,200,160,80,220,30,80,90,0,100,1,3,2,0,0,0,0,0,0,0,241.49452,5.4868469,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,3,99,0,0,,,.33333299,.33333299,,,,1.5,,,.5,.5,0,.06904,5,1,12,1,,1,0,0,0,1,0,0
4,895,No Pobre,.33,171,59,2,6,.03508772,2,.033898305,3,.01754386,1,.016949153,1,1,1,1,1,1,47,47,47,.2748538,1.46875,3.3571429,7,7,7,.11864407,.69999999,2.3333333,0,0,16,16,16,.093567252,.5,1.1428572,3,3,3,.050847456,.30000001,1,0,0,1,1,1,.0058479533,.03125,.071428575,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,,1,2,1,1,2,2,2,2,1,1,1,1,10,10,12,12,15,15,0,0,0,0,18,20,0,0,0,0,0,0,0,0,150,160,40,0,400,0,1,0,2,0,0,0,0,0,3,0,602.18579,6.4005661,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,3,99,0,0,,,.25,.25,,,,1.3333334,,,,,0,.09221,5,1,12,1,1,1,0,0,0,1,0,0
4,756,No Pobre,2.23,171,59,2,6,.03508772,2,.033898305,3,.01754386,1,.016949153,1,1,0,0,0,0,47,47,47,.2748538,1.46875,3.3571429,7,7,7,.11864407,.69999999,2.3333333,0,0,16,16,16,.093567252,.5,1.1428572,3,3,3,.050847456,.30000001,1,0,0,1,1,1,.0058479533,.03125,.071428575,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,8,2,2,1,1,1,1,1,3,3,11,11,12,14,0,20,0,0,20,40,0,0,0,0,0,0,0,0,160,0,0,150,300,100,1,3,2,0,0,0,0,0,0,0,235.23418,5.4605813,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,3,99,0,0,,,.25,.25,,,,1.3333334,,,,,0,.09221,5,0,14,1,1,1,0,1,0,1,0,0
7,688.8,Pobre,1.75,257,133,3,10,.038910504,7,.052631579,5,.019455252,3,.022556391,1,1,0,0,0,0,89,89,89,.34630349,2.3421052,2.1707318,44,44,44,.33082706,3.1428571,2.2,0,0,10,10,10,.038910504,.2631579,.24390244,2,2,2,.015037594,.14285715,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,,1,1,1,1,2,2,2,2,1,1,1,1,8,8,10,12,15,18,0,0,0,0,0,80,0,0,20,0,0,82,0,400,0,230,60,250,100,60,0,2,1,0,0,0,0,0,0,3,368.55276,5.909584,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,2,2,0,1,0,1,1,1,1,1,3,99,1,20,,.16666667,,.16666667,,,,,,,,,0,-.07108,4,0,14,1,1,1,0,,,0,1,1
6,895.4,No Pobre,1.78,186,107,3,6,.032258064,4,.037383176,6,.032258064,4,.037383176,1,1,1,1,1,1,46,46,46,.24731183,1.9166666,5.1111112,25,25,25,.23364486,1.5625,25,0,1,15,15,15,.080645159,.625,1.6666666,7,7,7,.065420561,.4375,7,0,1,1,1,1,.0053763441,.041666668,.11111111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,,1,1,1,1,2,2,2,2,1,1,1,1,13,13,12,12,16,16,0,20,0,0,70,200,52,0,0,0,300,200,0,0,150,150,0,150,100,50,1,2,3,0,0,0,0,0,0,0,302.50778,5.7121072,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,2,1,0,1,0,0,1,1,1,9,99,99,0,0,,,.5,.5,,,,,,,,,0,.83697,5,1,12,1,1,1,0,,,1,0,1
9,563.5700000000001,Pobre,3.8,186,107,6,6,.032258064,4,.037383176,6,.032258064,4,.037383176,1,1,1,1,1,1,46,46,46,.24731183,1.9166666,5.1111112,25,25,25,.23364486,1.5625,25,0,1,15,15,15,.080645159,.625,1.6666666,7,7,7,.065420561,.4375,7,0,0,1,1,1,.0053763441,.041666668,.11111111,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,,1,2,1,1,2,2,2,2,1,1,1,1,10,10,9,9,17,17,0,15,0,0,35,100,84,20,0,0,0,0,0,0,0,0,0,0,100,10,1,3,2,0,0,0,0,0,0,0,308.11868,5.730485,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,2,1,0,1,0,0,1,1,1,9,99,99,0,0,,,.5,.5,,,,,,,,,0,.83697,5,1,13,1,1,1,0,0,0,1,0,0
7,802.5,No Pobre,2.63,93,21,4,2,.021505376,0,0,1,.010752688,0,0,1,1,1,1,1,1,27,27,27,.29032257,2.0769231,2.4545455,5,5,5,.23809524,2.5,1.6666666,0,0,7,7,7,.07526882,.53846157,.63636363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,,1,2,1,1,1,2,2,2,1,2,2,2,10,10,7,7,15,15,0,40,0,0,0,80,400,70,0,0,0,0,0,0,0,0,0,0,30,25,1,0,0,0,0,0,0,2,3,0,192,5.2574954,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,9,1,99,0,0,,.58333331,.5,.5,,,1,,,,1,1,,.49568,5,0,10,1,1,1,0,,,0,1,1
10,719.5,Pobre,4.71,439,266,6,10,.022779044,8,.030075189,5,.011389522,4,.015037594,1,1,1,0,1,0,140,140,140,.31890661,2.5,1.9178082,70,70,70,.2631579,2.6923077,1.7073171,0,0,52,52,52,.11845102,.9285714,.71232879,19,19,19,.071428575,.73076922,.46341464,0,0,2,2,2,.0045558088,.035714287,.02739726,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,,1,2,1,1,1,1,2,2,1,1,1,1,10,10,9,8,20,20,0,16,0,10,12,45,0,0,0,0,90,60,60,30,90,30,20,20,0,20,1,0,0,0,0,2,3,0,0,0,195.41292,5.275115,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,99,99,0,0,,,.33333299,.33333299,,,,,,,,,1,.93971,5,1,12,1,1,0,0,0,0,1,0,0
11,813.5,No Pobre,2.78,439,266,3,10,.022779044,8,.030075189,5,.011389522,4,.015037594,1,1,1,1,1,1,140,140,140,.31890661,2.5,1.9178082,70,70,70,.2631579,2.6923077,1.7073171,0,0,52,52,52,.11845102,.9285714,.71232879,19,19,19,.071428575,.73076922,.46341464,0,0,2,2,2,.0045558088,.035714287,.02739726,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,,1,2,1,1,2,2,2,2,1,1,1,1,8,10,10,10,16,18,0,0,0,0,13,100,0,0,60,0,300,200,250,300,250,180,200,300,300,200,2,1,0,0,0,0,0,0,0,3,141.42857,4.9517946,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,99,99,0,0,,,.33333299,.33333299,,,,,,,,,1,.93971,5,0,12,1,1,0,0,0,0,0,1,0
9,745.75,Pobre,3,143,26,3,2,.013986014,1,.03846154,2,.013986014,1,.03846154,1,1,1,0,1,0,41,41,41,.28671327,1.9523809,2.1578948,5,5,5,.1923077,2.5,1,0,0,20,20,20,.13986014,.95238096,1.0526316,2,2,2,.07692308,1,.40000001,0,0,2,2,2,.013986014,.095238097,.10526316,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,,1,2,1,1,8,2,2,2,1,1,1,1,10,10,10,10,13,13,0,0,0,0,20,40,0,0,0,0,0,0,0,49,40,20,0,0,20,60,1,2,3,0,0,0,0,0,0,0,175.80797,5.1693921,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,2,0,1,0,1,1,1,0,1,3,99,0,0,.66666669,,,.66666669,.66666669,,,,,,,,0,.35025,5,1,13,1,1,1,0,0,0,1,0,0
4,879,No Pobre,1.31,143,26,1,2,.013986014,1,.03846154,2,.013986014,1,.03846154,1,1,1,0,0,0,41,41,41,.28671327,1.9523809,2.1578948,5,5,5,.1923077,2.5,1,0,0,20,20,20,.13986014,.95238096,1.0526316,2,2,2,.07692308,1,.40000001,0,0,2,2,2,.013986014,.095238097,.10526316,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,,1,2,1,1,2,2,2,2,1,1,1,1,10,10,10,10,17,17,0,70,0,0,20,40,0,0,0,0,0,0,0,0,0,99,0,0,9999,60,1,2,3,0,0,0,0,0,0,0,149.82143,5.0094442,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,2,0,1,0,1,1,1,0,1,3,99,0,0,.66666669,,,.66666669,.66666669,,,,,,,,0,.35025,5,0,13,1,1,1,0,,,1,0,1
